cluster,count,relative,rep_frame
2,2478,0.3221110100090992,2166
1,1494,0.19420252177304043,2885
9,1476,0.19186273235408813,7180
0,846,0.10997010269075783,4414
8,409,0.053165215130638245,7097
6,352,0.04575588197062264,98
5,334,0.04341609255167035,2986
7,194,0.025217730404263616,50
3,93,0.012088911997920187,7
4,17,0.002209801117899389,5760
